Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
RESOLV,Close Long,2025-11-18 01:37:28,32.120226,162.000000,0.198273,-0.417312,0.0000,Taker,trade
ICP,Close Long,2025-11-18 01:37:21,23.740296,4.080000,5.818700,-0.215016,0.0000,Taker,trade
TAO,Open Long,2025-11-18 01:37:17,15.690584,0.049000,320.216000,-,0.0000,Taker,trade
BNB,Open Long,2025-11-18 01:37:10,18.286460,0.020000,914.323000,-,0.0000,Taker,trade
PENDLE,Open Long,2025-11-18 01:30:34,19.923400,8.560000,2.327500,-,0.0000,Taker,trade
ICP,Open Long,2025-11-18 01:30:31,23.955312,4.080000,5.871400,-,0.0000,Taker,trade
RESOLV,Open Long,2025-11-18 01:30:28,32.537538,162.000000,0.200849,-,0.0000,Taker,trade
BNB,Close Long,2025-11-18 01:30:21,18.263832,0.020000,913.191600,-0.085322,0.0000,Taker,trade
FIL,Close Long,2025-11-18 01:23:26,30.846442,14.600000,2.112770,-0.076796,0.0000,Taker,trade
GMX,Close Long,2025-11-18 01:23:19,25.828752,3.040000,8.496300,-0.030096,0.0000,Taker,trade
HYPE,Close Long,2025-11-18 01:23:12,32.848163,0.830000,39.576100,0.122591,0.0000,Taker,trade
BNB,Open Long,2025-11-18 01:23:08,18.349154,0.020000,917.457700,-,0.0000,Taker,trade
GMX,Open Long,2025-11-18 01:16:29,25.858848,3.040000,8.506200,-,0.0000,Taker,trade
FIL,Open Long,2025-11-18 01:16:26,30.923238,14.600000,2.118030,-,0.0000,Taker,trade
HYPE,Open Long,2025-11-18 01:16:22,32.725572,0.830000,39.428400,-,0.0000,Taker,trade
TAO,Close Long,2025-11-18 01:16:16,31.240832,0.098000,318.784000,0.088298,0.0000,Taker,trade
BNB,Close Long,2025-11-18 01:16:09,36.595540,0.040000,914.888500,-0.043412,0.0000,Taker,trade
HYPE,Close Long,2025-11-18 01:09:24,0.393427,0.010000,39.342700,0.005533,0.0000,Taker,trade
